submittedTaxon
Datura metel
Celtis adolfi-friderici
Cissus triloba
Mangifera pentandra
Corynanthe pachyceras
Saccharum arundinaceum
Erythrophleum suaveolens
Diplazium esculentum
Ischaemum ciliare
Aglaomorpha bonii
Stephania rotunda
Bischofia javanica
Decaschistia parviflora
Cyperus diffusus
Tetrastigma pachyphyllum
Barringtonia longipes
Tinospora baenzigeri
Lagenaria siceraria
Zanha golungensis
Diospyros crassiflora
Vernonia elaeagnifolia
Elaeagnus latifolia
Ficus exasperata
Entandrophragma utile
Calycopteris floribunda
Cnestis ferruginea
Mitragyna stipulosa
Staudtia kamerunensis
Petersianthus macrocarpus
Dichrocephala benthamii
Sophora davidii
Lithocarpus litseifolius
Apluda mutica
Nicandra physalodes
Ichnanthus pallens
Pistia stratiotes
Codariocalyx gyroides
Paraboea rufescens
Ficus tikoua
Oxyspora paniculata
Ludwigia japonicum
Gentiana pubigera
Stellaria vestita
Stranvaesia davidiana
Sabia schumanniana
Persicaria orientalis
Caesalpinia enneaphylla
Thalictrum foliolosum
Hemarthria compressa
Calliandra haematocephala
Breynia fruticosa
Trichosanthes ovigera
Asemeia extraaxillaris
Clerodendrum yunnanense
Pimpinella candolleana
Pilea plataniflora
Zanthoxylum acanthopodium
Byttneria aspera
Hypericum patulum
Viburnum foetidum
Arisaema franchetianum
Peracarpa carnosa
Ottochloa nodosa
Corylopsis multitorum
Schefflera delavayi
Artabotrys hexapetalus
Geum japonicum
Erigeron breviscapus
Pedicularis henryi
Rumex nepalensis
Tripterospermum cordatum
Tetradium trichotomum
Vaccinium fragile
Eupatorium heterophyllum
Citrus japonica
Justicia pectinata
Sambucus javanica
Waltheria indica
